AI Agents | Krystal Auto-Farm Vault | krystal-auto-farm-vault | https://krystal.app | KrystalDeFi | tvl=557599.654 | Base,Binance,Robinhood Chain,Arbitrum,Ethereum,Solana,Polygon,Hyperliquid L1,Ronin
Bridge | LayerZero V2 | layerzero-v2 | https://layerzero.network/ | LayerZero_Core | tvl=7127390491 | Ethereum,ApeChain,Solana,Arbitrum,Base,Degen,Polygon,Plasma,Binance,Stable,Flare,Hemi,Abstract,Citrea,Gensyn,Tron,TAC,Fraxtal,Sei,Somnia,Hyperliquid L1,Avalanche,Celo,Robinhood Chain,Kava,Optimism,Chiliz,zkSync Era,0G,Fantom,Telos,Peaq,Berachain,Metis,RSK,Katana,Cronos,Vana,Astar,Mantle,Redbelly,Conflux,Sonic,Blast,Story,Canto,Mode,xDai,XDC,Monad,XPLA,Plume Mainnet,Swellchain,Moonriver,Moonbeam,Polygon zkEVM,Flow,Sophon,Soneium,Lisk,Tempo,Goat,LightLink,Zora,Ethereal,World Chain,Ink,Hedera,Harmony,Unichain,CORE,Nibiru,Etherlink,BOB,Scroll,Morph,Op_Bnb,Rayls,TomoChain,Klaytn,Linea,Bittensor EVM,zkVerify,Apex Fusion,MegaETH,X Layer,Manta,Codex,KiteAI,Taiko,Irys
CDP | USDAX Finance | usdax-finance |  | Usdax_Finance | tvl=0 | Robinhood Chain
Cross Chain Bridge | Symbiosis | symbiosis | https://symbiosis.finance | symbiosis_fi | tvl=9172177.52 | Ethereum,Bitcoin,Tron,Binance,TON,Arbitrum,Polygon,Base,Robinhood Chain,Hyperliquid L1,zkSync Era,Merlin,xDai,Boba,BSquared,Katana,Mantle,RSK,Avalanche,Manta,Cronos zkEVM,Linea,Scroll,Metis,Optimism,Cronos,Sei,Quai,Abstract,Gravity,Taiko,Berachain,Plasma,Mode,Tempo,Soneium,Stable,Op_Bnb,Sonic,Unichain,Blast,Monad,Fraxtal,Arbitrum Nova,ApeChain,Kava,ZetaChain,zkLink,Morph,Goat,CORE,Polygon zkEVM,Aurora,Boba_Avax,Telos,Bahamut
Derivatives | Lighter Robinhood Perps | lighter-robinhood-perps | https://robinhoodchain.lighter.xyz/trade/LIT | Lighter_xyz | tvl=47649764.0 | Robinhood Chain
Derivatives | Arcus Perps | arcus-perps | https://arcus.xyz/ | arcus_xyz | tvl=20501929.4 | Robinhood Chain
Derivatives | Meridian Perps | meridian-perps | https://app.meridian.xyz/ | meridiandotxyz | tvl=2498199.33 | Robinhood Chain
Derivatives | Arcus pTokens | arcus-ptokens | https://arcus.xyz/ | arcus_xyz | tvl=387783.081 | Robinhood Chain
Dexs | PancakeSwap AMM | pancakeswap-amm | https://pancakeswap.finance/ | PancakeSwap | tvl=1859847762 | Binance,Ethereum,Aptos,Base,zkSync Era,Arbitrum,Op_Bnb,Robinhood Chain,Linea,Monad,Polygon zkEVM
Dexs | Uniswap V3 | uniswap-v3 | https://app.uniswap.org/ | Uniswap | tvl=1469359286 | Ethereum,Base,Arbitrum,Robinhood Chain,Binance,X Layer,Polygon,Optimism,Plasma,Unichain,xDai,Avalanche,Celo,RSK,Monad,World Chain,0G,Ink,Boba,Filecoin,zkSync Era,Mantle,Etherlink,Goat,Sei,Telos,BOB,XDC,Lens,Hemi,Sonic,Redbelly,Scroll,Blast,Linea,Taiko,Lisk,MegaETH,Tempo,Manta,LightLink,Nibiru,Moonbeam,Polygon zkEVM,Corn,Saga
Dexs | Curve DEX | curve-dex | https://curve.finance | CurveFinance | tvl=1311868344 | Ethereum,Fraxtal,Base,Arbitrum,Monad,Etherlink,Polygon,Plasma,Avalanche,xDai,Optimism,Fantom,Robinhood Chain,Unichain,Binance,X Layer,Hyperliquid L1,Celo,Sonic,Kava,XDC,Aurora,Plume Mainnet,TAC,Taiko,Ink,Stable,Moonbeam,Corn,Harmony,Mantle
