common.input.password.error.mismatch	Passwords don’t match
common.input.password.error.same	New password must be different from current password
common.input.password.error.weak	This password is too weak
common.input.password.new	New password
common.input.password.placeholder	Password
common.input.password.strength.medium	Medium
common.input.password.strength.strong	Strong
common.input.password.strength.weak	Weak
common.input.search.networks	Search networks
common.insufficient.funds	Insufficient funds
common.insufficientBalance.error	Insufficient balance
common.insufficientFundsForNetworkFee.error	Insufficient funds to cover network cost
common.insufficientTokenBalance.error	Insufficient {{tokenSymbol}} balance
common.insufficientTokenBalance.error.simple	Not enough {{tokenSymbol}}
common.invalidRecipient.error	Invalid recipient
common.language	Language
common.launches	Launches
common.learnMoreLiquidity	Learn more about providing liquidity
common.learnMoreSwap	Learn more about swaps
common.legalAndPrivacy	Legal & Privacy
common.less	Less
common.limit.cancel_one	Cancel limit
common.limit.cancel_other	Cancel {{count}} limits
common.limit.canceled	Limit canceled
common.limit.executed	Limit executed
common.limit.expired	Limit expired
common.limit.failed	Limit failed
common.limit.opened	Limit opened
common.limit.pending	Limit pending
common.limits.approachMax	Approaching 100 limit maximum
common.limits.cancelProceed	Cancel limits to proceed
common.limits.expiresIn	Expires in {{duration}}
common.limits.open	Open limits
common.links	Links
common.liquidity	Liquidity
common.liquidity.provision	Liquidity Provision
common.liquidity.removed	Liquidity removed
common.loading	Loading
common.longText.button.less	Read less
common.longText.button.more	Read more
common.manage	Manage
common.market.label	Market
common.marketPrice	Market price
common.marketPrice.fetching	Fetching market price...
common.marketPrice.unavailable	Market price not found. Please do your own research to avoid loss of funds.
common.max	Max
common.message	Message
common.migrate	Migrate
common.migrate.liquidity.failed	Migrate liquidity failed
common.migrate.position	Migrate position
common.migrated.liquidity	Migrated liquidity
common.migrating.liquidity	Migrating liquidity
common.min	Min
common.minutes.lowercase_one	minute
common.minutes.lowercase_other	minutes
common.minutes.withCount_one	{{count}} minute
common.minutes.withCount_other	{{count}} minutes
common.mobileApp	Mobile app
common.more	More
common.moreDetails	More details
common.navigation.settings	Settings
common.navigation.systemSettings	Settings
common.navigationButton	Navigation button
common.needHelp	Need help?
common.network	Network
common.networkCost	Network cost
common.neverMind	Never mind
common.new	New
common.new.exclamation	New!
common.nft	NFT
common.noAmount.error	Enter an amount
common.noResults	No results found.
common.none	None
common.notAvailableInRegion.error	Not available in your region
common.notCreated.label	Not created
common.notSupported	Not supported
common.oneDay	1 day
common.oneDay.short	1D
common.oneHour.short	1H
common.oneMonth	1 month
common.oneWeek	1 week
common.oneYear	1 year
common.open	Open
common.opensea.link	View on OpenSea
common.optional	(optional)
common.or	or
common.orderCanceled	Order canceled
common.orderExecuted	Order executed
common.orderExpired	Order expired
common.orderPending	Order pending
common.others	Others
common.outOfRange	Out of range
common.pageNotFound	Page not found!
common.passkey.count	Passkey {{number}}
common.passkeys	Passkeys
common.passkeys.add	Add a passkey
common.passkeys.add.description	Choose where to save your new passkey.
common.pastDay	Past day
common.pastFiveMinutes	Past five minutes
common.pastHour	Past hour
common.pastMonth	Past month
common.pastWeek	Past week
common.pastYear	Past year
common.pending	Pending
common.pending.cancellation	Pending cancellation
common.pendingEllipsis	Pending...
common.permit	Permit
common.plusMore	+{{number}} more
common.pool	Pool
common.pools	Pools
common.popular	Popular
common.portfolio	Portfolio
common.poweredBy	Powered by <name />
common.price	Price
common.priceUpdated	Price updated
common.privacyChoices	Your Privacy Choices
common.privacyChoices.checkbox.description	When checked, we will not share your data with third-party partners for personalized advertising. You can enable sharing anytime by unchecking this box.
common.privacyChoices.checkbox.label	Do not share my information
common.privacyChoices.description	We may share device identifiers with our advertising partners to promote our services on other websites and platforms. Where this qualifies as selling, sharing or targeted advertising under applicable laws, you can opt out by checking the "do not share my information" box. For more information about our privacy practices please review our <privacyLink>Privacy Policy</privacyLink>.
common.privacyChoices.disclaimer	Please note that your selection will apply only to this browser on this device. You can also opt out by enabling the Global Privacy Control setting within the browser that you use to access our services. To see more options, go to your settings.
common.privacyPolicy	Privacy Policy
common.proceed	Proceed
common.proceedInWallet	Proceed in your wallet
common.products	Products
common.protocol	Protocol
common.protocol.v2	Uniswap v2
common.protocol.v3	Uniswap v3
common.protocol.v4	Uniswap v4
common.purchased	Purchased
common.range	Range
common.rate	Rate
common.readMore	Read more
common.receive	Receive
common.received	Received
common.recent	Recent
common.recommended	Recommended
common.refresh	Refresh
common.reload.label	Reload the app
common.remove.label	Remove
common.remove.liquidity.canceled	Remove liquidity canceled
common.remove.liquidity.failed	Remove liquidity failed
common.removing.liquidity	Removing liquidity
common.report	Report
common.reported	Reported
common.resetLimit	Reset {{symbol}} limit
common.resetLimitWallet	Reset {{symbol}} limit in wallet
common.resettingLimit	Resetting {{symbol}} limit...
common.revoke.approval.failed	Revoke approval failed
common.revoked.approval	Revoked approval
common.revoking.approval	Revoking approval
common.scanQRDownload	Scan the QR code with your phone to download
common.selectRegion.label	Select your region
common.selectToken.label	Select a token
common.sell.label	Sell
common.send.button	Send
common.send.error.message	Transfer failed. Please try again.
common.send.failed	Send failed
common.sending	Sending
common.sent	Sent
common.session.fail	Your connection needs to be verified. This may resolve with an app restart.
common.session.fail.browser	Your connection needs to be verified. This may resolve with a page refresh.
common.session.fail.title	Connection error
common.settings	Settings
common.share	Share
common.share.copyPortfolioLink	Copy portfolio link
common.share.shareToTwitter	Share to Twitter
common.share.twitter.token	Check out {{name}}
common.share.twitter.wallet	Check out this wallet:
common.show.button	Show
common.showLess.button	Show less
common.showMore.button	Show more
common.signMessage	Sign message
common.signMessageWallet	Sign message in wallet
common.signatureExpired	Your signature has expired.
common.socials	Socials
common.sold	Sold
common.stats	Stats
common.status	Status
common.step.number	Step {{number}}
common.step.number.of	Step {{current}} of {{total}}
common.stocks	Stocks
common.submit	Submit
common.swap	Swap
common.swap.expired	Swap expired
common.swap.failed	Swap failed
common.swapPending	Swap pending...
common.termsOfService	Terms of Service
common.text.connected	Connected
common.text.contract	Contract
common.text.disconnected	Disconnected
common.text.error	Error
common.text.notAvailable	N/A
common.text.recipient	To
common.text.sender	From
common.text.unknown	Unknown
common.thisHour	This hour
common.thisMonth	This month
common.thisToken	This token
common.thisWeek	This week
common.thisYear	This year
common.tick	Tick
common.time	Time
common.time.justNow	Just now
common.time.past.days	{{days}} days
common.time.past.days.short	{{days}}d
common.time.past.hours	{{hours}} hours
common.time.past.hours.short	{{hours}}h
common.time.past.minutes.short	{{minutes}}m
common.time.past.months.short	{{months}}mo
common.time.past.seconds.short	{{seconds}}s
common.to	to
common.today	Today
common.token	Token
common.token.plural	Tokens
common.tokenA	Token A
common.tokenAmount	Token amount
common.tokenB	Token B
common.total	Total
common.totalBalance	Total balance
common.totalUniswapTVL	Total Uniswap TVL
common.totalValueLocked	TVL
common.trade	Trade
common.trademarkPolicy	Trademark Policy
common.transactionDetails	Transaction details
common.transactionId	Transaction ID
common.transactionPending	Transaction pending
common.transactions	Transactions
common.transfer_one	transfer
common.transfer_other	transfers
common.trending	Trending
common.tryAgain.error	Try again
common.twitter	Twitter
common.type.label	Type
common.unavailable	Unavailable
common.unichain	Unichain
common.uniswapMobile	Uniswap Mobile
common.uniswapWallet	Uniswap Wallet
common.uniswapX	UniswapX
common.unknown	Unknown
common.unknownError.error	Unknown Error
common.unwrap.button	Unwrap
common.unwrap.failed	Unwrap failed
common.unwrapped	Unwrapped
common.unwrapping	Unwrapping
common.value	Value
common.view.profile	View profile
common.viewAll	View all
common.viewOnExplorer	View on Explorer
common.volume	Volume
common.vote	Vote
common.wallet.approve	Approve in wallet
common.wallet.label	Wallet
common.walletAddress	Wallet address
common.warning	Warning
common.webApp	Web App
common.website	Website
common.whyApprove	Why do I have to approve a token?
common.whySign	Why are signatures required?
common.whyWrap	Why do I have to wrap my {{symbol}}?
common.withdraw	Withdraw
common.withdrawal.amount	Withdrawal amount
common.withinRange	In range
common.wrap	Wrap {{symbol}}
common.wrap.failed	Wrap failed
common.wrapIn	Wrap  {{symbol}} in wallet
common.wrapped	Wrapped
common.wrapping	Wrapping
common.wrappingToken	Wrapping  {{symbol}}...
common.yesterday	Yesterday
common.your.account.had.insufficient.funds	Your account had insufficient funds to complete this swap.
common.your.account.has.insufficient.funds	Your account has insufficient funds to complete this swap.
common.your.connected.wallet	Your connected wallet
common.your.limit.could.not.be.fulfilled	Your limit could not be fulfilled at this time. Please try again.
common.your.swap.could.not.be.fulfilled	Your swap could not be fulfilled at this time. Please try again.
common.youreBuying	You’re buying
common.youreSelling	You’re selling
home.activity.empty.button	Receive tokens or NFTs
home.activity.empty.description.default	When you approve, trade, or transfer tokens or NFTs, your transactions will appear here.
home.activity.empty.description.external	When this wallet makes transactions, they’ll appear here.
home.activity.empty.title	No activity yet
home.activity.error.load	Couldn’t load activity
home.activity.title	Activity
home.banner.offline	You are in offline mode
home.banner.testnetMode	You are in testnet mode
home.banner.testnetMode.nav	You are in testnet mode. Toggle this off in settings.
home.earn.upToApy	Earn up to <highlight>{{apy}}</highlight>
home.earning.title	Earning
home.empty.cexTransfer	Transfer from account
home.empty.cexTransfer.description	Move funds from a trading platform.
home.empty.transfer	Transfer from wallet
home.empty.transfer.description	Move funds from another wallet.
home.explore.footer	Tap “search” to explore more
home.explore.title	Explore tokens
home.extension.error	Error loading accounts
home.label.for	Buy/Sell
home.label.receive	Receive
home.label.send	Send
home.label.swap	Swap
home.nfts.title	NFTs
home.tokens.empty.action.buy.description	Purchase with a debit card or a bank account.
home.tokens.empty.action.buy.title	Buy crypto
home.tokens.empty.action.import.description	Enter this wallet’s recovery phrase to begin swapping and sending.
home.tokens.empty.action.import.title	Import wallet
home.tokens.empty.action.receive.description	Transfer from another wallet or account.
home.tokens.empty.action.receive.title	Receive crypto
home.tokens.empty.description	When this wallet buys or receives tokens, they’ll appear here.
home.tokens.empty.title	No tokens yet
home.tokens.empty.welcome.description	Add funds to start trading
home.tokens.error.fetch	Failed to fetch token balances
home.tokens.error.load	Couldn’t load token balances
home.tokens.title	Tokens
home.upsell.receive.cta	From an account
home.upsell.receive.title	Receive crypto
home.warning.viewOnly	This is a view-only wallet
launches.allLaunches.title	All launches
launches.card.committedVol	Committed vol.
launches.card.fdv	FDV
launches.card.volume24h	24H volume
launches.disclaimer	Disclaimer: Auctions are sorted by committed volume by default, and Uniswap Labs does not provide valuation, recommendations, or opinions on any token. You should independently evaluate whether to transact in any token.
launches.filter.allLaunchpads	All launchpads
launches.filter.launchpadOverflow_one	+{{count}}
launches.filter.launchpadOverflow_other	+{{count}}
launches.hero.subtitleWithWordmark	<wordmark>Pools</wordmark> is live: Trade new Robinhood Chain tokens
launches.hero.title	Launch and trade
launches.quickSelect.recentlyLaunched	Recently launched
launches.quickSelect.trending	Trending
launches.table.age	Age
launches.table.launchpad	Launchpad
launches.teaser.badge	Coming soon
launches.teaser.title	Something new...
launches.trending.title	Trending launches
launches.trending.tooltip.criteria.buyers	≥ 5 distinct buyers in the last hour
launches.trending.tooltip.criteria.fdv	FDV ≥ $30,000
launches.trending.tooltip.criteria.priceChange	1h price change above -10%
launches.trending.tooltip.description	Trending tokens are ranked by momentum — growth in trading volume and unique buyers over the past hour — and meet the following criteria:
nav.createAccount.button	Create account
nav.logIn.button	Log in
nav.products.tradingApi	Integrate the protocol
nav.products.unichain	The DeFi chain
nav.products.uniswapX	The meta-aggregator
nav.products.wallet	Swap, store, explore
nav.signUp.button	Sign up
nav.tabs.createPosition	Create position
nav.tabs.viewPositions	View positions
pools.explore	Explore pools
portfolio.activity.filters.timePeriod.all	All time
portfolio.activity.filters.transactionType.addLiquidity	Added liquidity
portfolio.activity.filters.transactionType.all	All types
portfolio.activity.filters.transactionType.approvals	Approvals
portfolio.activity.filters.transactionType.claimFees	Claimed fees
portfolio.activity.filters.transactionType.createPool	Pools created
portfolio.activity.filters.transactionType.mints	Mints
portfolio.activity.filters.transactionType.receives	Receives
portfolio.activity.filters.transactionType.removeLiquidity	Removed liquidity
portfolio.activity.filters.transactionType.sends	Sends
portfolio.activity.filters.transactionType.swaps	Swaps
portfolio.activity.filters.transactionType.withdrawals	Withdrawals
portfolio.activity.filters.transactionType.wraps	Wraps
portfolio.activity.table.column.address	Address
portfolio.activity.table.column.amount	Amount
portfolio.activity.table.column.time	Time
portfolio.activity.table.column.type	Type
portfolio.balance.change1dUnavailable	1D change unavailable
portfolio.balanceBreakdown.earnBalance	Earning balance
portfolio.balanceBreakdown.poolsBalance	Pools balance
portfolio.balanceBreakdown.tokenBalance	Token balance
portfolio.balances.unavailable	{{categories}} balances currently unavailable
portfolio.defi.title	DeFi
portfolio.description	Track your crypto portfolio across all chains and protocols
portfolio.disconnected.connectWallet.cta	Track your portfolio
portfolio.disconnected.demoWallet.description	This is a view-only example. Connect your wallet to manage your portfolio.
portfolio.disconnected.demoWallet.title	Demo wallet
portfolio.disconnected.viewYourPortfolio.cta	to view your portfolio
portfolio.limits.table.column.amount	Amount
portfolio.limits.table.column.limit	Limit
portfolio.networkFilter.seeAllNetworks	See all networks
portfolio.nfts.search.placeholder	Search NFTs
portfolio.nfts.title	NFTs
portfolio.nfts.title.yours	Your NFTs
portfolio.noResults.filters.clear	Clear filters
portfolio.noResults.filters.title	No results matching your filters
portfolio.noResults.search.clear	Clear search
portfolio.noResults.search.title	No results matching your search
portfolio.overview.activity.seeAllActivity	See activity on all networks
portfolio.overview.activity.table.empty_one	No recent activity
portfolio.overview.activity.table.empty_other	No recent activity
portfolio.overview.activity.table.subtitle_most_recent_one	{{count}} transaction
portfolio.overview.activity.table.subtitle_most_recent_other	{{count}} transactions
portfolio.overview.activity.table.subtitle_one	{{count}} transaction in the last 7 days
portfolio.overview.activity.table.subtitle_other	{{count}} transactions in the last 7 days
portfolio.overview.activity.table.title	Recent activity
portfolio.overview.activity.table.title.noRecentActivity	No recent activity
portfolio.overview.activity.table.viewAllActivity	View all activity
portfolio.overview.chart.errorText	An error occurred while fetching chart data. Please try again later.
portfolio.overview.chart.errorTitle	Chart unavailable
portfolio.overview.earn.errorLoadingBalance	An error occurred loading your balance
portfolio.overview.earn.lifetimeEarnings	Lifetime earnings
portfolio.overview.earn.rewards.errorLoading	An error occurred while loading your reward balance. Please wait and try again.
portfolio.overview.earn.rewards.unavailableTitle	Rewards unavailable
portfolio.overview.limits.table.openLimits_one	{{count}} open order
portfolio.overview.limits.table.openLimits_other	{{count}} open orders
portfolio.overview.miniTokensTable.viewAllTokens	View all tokens
portfolio.overview.pools.subtitle.openPositions_one	{{numPositions}} open position
portfolio.overview.pools.subtitle.openPositions_other	{{numPositions}} open positions
portfolio.overview.pools.table.viewAllPools	View all pools
portfolio.overview.title	Overview
portfolio.pools.balance.totalPositions_one	{{count}} position
portfolio.pools.balance.totalPositions_other	{{count}} positions
portfolio.pools.unavailable.networks	Pools on {{networks}} currently unavailable
portfolio.pools.unavailable.otherNetworks_one	{{count}} other network
portfolio.pools.unavailable.otherNetworks_other	{{count}} other networks
portfolio.poolsBalance.coachmark.body	Pool positions are now included in your total balance
portfolio.tokens.balance.totalTokens_one	{{count}} token
portfolio.tokens.balance.totalTokens_other	{{count}} tokens
portfolio.tokens.multichainChainRow.tooltip	{{symbol}} on {{networkName}}
portfolio.tokens.table.balances	Balances
portfolio.tokens.table.column.allocation	Allocation
portfolio.tokens.table.column.avgCost	Avg cost
portfolio.tokens.table.column.balance	Balance
portfolio.tokens.table.column.change1d	1D change
portfolio.tokens.table.column.price	Price
portfolio.tokens.table.column.token	Token
portfolio.tokens.table.column.unrealizedPnl	Unrealized P/L
portfolio.tokens.table.column.value	Value
portfolio.view	View portfolio
token.balances.chooseNetwork	Choose a network balance
token.balances.main	Your balance
token.balances.viewOnly	{{ownerAddress}}’s balance
token.bridge	{{label}} token bridge
token.chart.candlestick.unavailable	Candlestick charts are unavailable for this token
token.chart.tooltip	Fees: {{amount}}
token.data.unavailable	Token data unavailable
token.details	Token details
token.error.unknown	Unknown token
token.fee.buy.label	buy fee
token.fee.label	fee
token.fee.sell.label	sell fee
token.links.title	Links
token.links.twitter	Twitter
token.links.website	Website
token.notFound.description	Sorry, we can’t find any information for this token. Check the name and address and try again.
token.notFound.title	Token not found
token.priceExplorer.error.description	Something went wrong.
token.priceExplorer.error.title	Couldn’t load price chart
token.priceExplorer.timeRangeLabel.all	All time
token.priceExplorer.timeRangeLabel.day	1D
token.priceExplorer.timeRangeLabel.day.verbose	1 Day
token.priceExplorer.timeRangeLabel.hour	1H
token.priceExplorer.timeRangeLabel.month	1M
token.priceExplorer.timeRangeLabel.month.verbose	1 Month
token.priceExplorer.timeRangeLabel.week	1W
token.priceExplorer.timeRangeLabel.week.verbose	1 Week
token.priceExplorer.timeRangeLabel.year	1Y
token.priceExplorer.timeRangeLabel.year.verbose	1 Year
token.safety.blocked.title.tokenNotAvailable	{{tokenSymbol}} is not available
token.safety.blocked.title.tokensNotAvailable	{{tokenSymbol0}} and {{tokenSymbol1}} are not available
token.safety.fees.uniswapLabsDoesNotReceive	Uniswap Labs does not receive any of these fees.
token.safety.warning.alwaysDoYourResearch	Always do your research
token.safety.warning.blocked.description.default_one	You can’t trade this token using the Uniswap App.
token.safety.warning.blocked.description.default_other	You can’t trade these tokens using the Uniswap App.
token.safety.warning.copyContractAddress.message	This is a contract address, which acts as a unique identifier for tokens on the blockchain. Any crypto you send to this address will be lost.
token.safety.warning.copyContractAddress.title	Do not send crypto to this address
token.safety.warning.doYourOwnResearch	Always do your own research before proceeding.
token.safety.warning.dontShowWarningAgain	Don’t show me this warning again
token.safety.warning.dontShowWarningAgainShort	Don’t show again
token.safety.warning.feeDescription	Charges a <fee /> when {{action}}
token.safety.warning.flaggedAsMalicious	Flagged as malicious
token.safety.warning.flaggedAsSuspicious	Flagged as suspicious
token.safety.warning.fotHigh.title	High fee detected
token.safety.warning.fotLow.title	Fee detected
token.safety.warning.fotVeryHigh.title	Very high fee detected
token.safety.warning.honeypot.message	{{tokenSymbol}} has been flagged as unsellable. Swapping this token may result in a loss of your funds.
token.safety.warning.honeypot.title	100% sell fee detected
token.safety.warning.impersonator	Impersonates another token
token.safety.warning.impersonator.title	Impersonator token detected
token.safety.warning.malicious.general.message	{{tokenSymbol}} has been flagged as malicious by Blockaid.
token.safety.warning.malicious.impersonator.message	{{tokenSymbol}} has been flagged by Blockaid for attempting to copy a different token. It may not be the token you are looking to swap.
token.safety.warning.malicious.impersonator.message.short	{{tokenSymbol}} may not be the token you are looking to swap.
token.safety.warning.malicious.title	Malicious token detected
token.safety.warning.mayResultInLoss	Swapping it may result in a loss of funds.
token.safety.warning.medium.heading.named	{{tokenSymbol}} isn’t traded on leading U.S. centralized exchanges.
token.safety.warning.notListedOnExchanges	Not listed on leading U.S. exchanges
token.safety.warning.potentialHoneypot.card.message	{{tokenSymbol}} has been flagged as suspicious by Blockaid.
token.safety.warning.potentialHoneypot.modal.message	{{tokenSymbol}} has been flagged as a potential honeypot by Blockaid. Always do your own research before proceeding.
token.safety.warning.potentialHoneypot.title	Potential honeypot detected
token.safety.warning.sellFee100.message	{{ tokenSymbol }} has been flagged as unsellable.
token.safety.warning.sellFee100.title	100% sell fee detected
token.safety.warning.spam.message	{{tokenSymbol}} has been flagged as spam by Blockaid.
token.safety.warning.spam.title	Spam token detected
token.safety.warning.spamsUsers	Spams users
token.safety.warning.tokenChargesFee.both.message	{{tokenSymbol}} charges a {{buyFeePercent}} fee when bought and {{sellFeePercent}} when sold.
token.safety.warning.tokenChargesFee.buy.message	{{tokenSymbol}} charges a {{feePercent}} fee when bought.
token.safety.warning.tokenChargesFee.sell.message	{{tokenSymbol}} charges a {{feePercent}} fee when sold.
token.safety.warning.tokenChargesFee.unknownFee.message	{{tokenSymbol}} charges a fee when bought or sold.
token.safetyLevel.blocked.message	You can’t trade this token using the Uniswap Wallet.
token.safetyLevel.medium.message.plural	These tokens aren’t traded on leading U.S. centralized exchanges. Always do your own research before proceeding.
token.selector.search.error	Couldn’t load search results
token.stats.fullyDilutedValuation	Fully Diluted Valuation
token.stats.marketCap	Market Cap
token.stats.priceHighYear	52W High
token.stats.priceLowYear	52W Low
token.stats.section.about	About {{token}}
token.stats.title	Stats
token.stats.translation.original	Show original
token.stats.translation.translate	Translate to {{language}}
token.stats.volume	24h Volume
token.symbol.input.fallback	Input token
token.symbol.output.fallback	Output token
token.wrap.fail.message	Swaps on the Uniswap Protocol can start and end with ETH. However, during the swap, ETH is wrapped into WETH.
token.zeroNativeBalance.description.mainnet	You’ll need to swap a token on Ethereum to get {{ tokenSymbol }}. Swapping requires ETH for network costs.
token.zeroNativeBalance.description.otherChains	You’ll need to swap a token on {{ chainName }} to get {{ tokenSymbol }}. Swapping requires {{ chainName }} {{ nativeTokenSymbol }} for network costs.
token.zeroNativeBalance.subtitle	{{ tokenSymbol }} is not available for direct purchase.
token.zeroNativeBalance.title.mainnet	You need {{ nativeTokenName }}
token.zeroNativeBalance.title.otherChains	You need {{ nativeTokenName }} on {{ chainName }}
tokens.action.hide	Hide token
tokens.action.unhide	Unhide token
tokens.list.none.button	Receive tokens
tokens.list.none.description.default	Transfer tokens from another wallet to get started.
tokens.list.none.title	No tokens yet
tokens.list.noneOnChain.title	No tokens on {{chainName}}
tokens.nfts.action.viewOnExplorer	View on {{blockExplorerName}}
tokens.nfts.error.unavailable	Content not available
tokens.nfts.hidden.action.hide	Hide NFT
tokens.nfts.hidden.action.unhide	Unhide NFT
tokens.nfts.list.error.load.title	Couldn’t load NFTs
tokens.nfts.list.none.button	Receive NFTs
